Class_id,Folder_name,Class_name,Train_Image_cnt,Val_Image_cnt,,,,
1,n02119789,kit_fox,1300,50,,,,
2,n02100735,English_setter,1300,50,,,,
3,n02110185,Siberian_husky,1300,50,,,,
4,n02096294,Australian_terrier,1300,50,,,,
5,n02102040,English_springer,1300,50,,,,
6,n02066245,grey_whale,1150,50,,,,
7,n02509815,lesser_panda,1300,50,,,,
8,n02124075,Egyptian_cat,1300,50,,,,
9,n02417914,ibex,1300,50,,,,
10,n02123394,Persian_cat,1300,50,,,,
11,n02125311,cougar,1300,50,,,,
12,n02423022,gazelle,1300,50,,,,
13,n02346627,porcupine,1300,50,,,,
14,n02077923,sea_lion,1300,50,,,,
15,n02110063,malamute,1300,50,,,,
16,n02447366,badger,1300,50,,,,
17,n02109047,Great_Dane,1300,50,,,,
18,n02089867,Walker_hound,1025,50,,,,
19,n02102177,Welsh_springer_spaniel,1300,50,,,,
20,n02091134,whippet,1300,50,,,,
21,n02092002,Scottish_deerhound,1300,50,,,,
22,n02071294,killer_whale,1300,50,,,,
23,n02442845,mink,1300,50,,,,
24,n02504458,African_elephant,1300,50,,,,
25,n02092339,Weimaraner,1300,50,,,,
26,n02098105,soft-coated_wheaten_terrier,1300,50,,,,
27,n02096437,Dandie_Dinmont,1156,50,,,,
28,n02114712,red_wolf,1300,50,,,,
29,n02105641,Old_English_sheepdog,1300,50,,,,
30,n02128925,jaguar,1300,50,,,,
31,n02091635,otterhound,738,50,,,,
32,n02088466,bloodhound,1300,50,,,,
33,n02096051,Airedale,1300,50,,,,
34,n02117135,hyena,1300,50,,,,
35,n02138441,meerkat,1300,50,,,,
36,n02097130,giant_schnauzer,1300,50,,,,
37,n02493509,titi,1300,50,,,,
38,n02457408,three-toed_sloth,1300,50,,,,
39,n02389026,sorrel,1300,50,,,,
40,n02443484,black-footed_ferret,1300,50,,,,
41,n02110341,dalmatian,1300,50,,,,
42,n02089078,black-and-tan_coonhound,732,50,,,,
43,n02086910,papillon,1300,50,,,,
44,n02445715,skunk,1300,50,,,,
45,n02093256,Staffordshire_bullterrier,1300,50,,,,
46,n02113978,Mexican_hairless,755,50,,,,
47,n02106382,Bouvier_des_Flandres,1300,50,,,,
48,n02441942,weasel,1300,50,,,,
49,n02113712,miniature_poodle,1300,50,,,,
50,n02113186,Cardigan,1300,50,,,,
51,n02105162,malinois,1300,50,,,,
52,n02415577,bighorn,1300,50,,,,
53,n02356798,fox_squirrel,1206,50,,,,
54,n02488702,colobus,1300,50,,,,
55,n02123159,tiger_cat,1300,50,,,,
56,n02098413,Lhasa,1300,50,,,,
57,n02422699,impala,1300,50,,,,
58,n02114855,coyote,1300,50,,,,
59,n02094433,Yorkshire_terrier,1300,50,,,,
60,n02111277,Newfoundland,1300,50,,,,
61,n02132136,brown_bear,1300,50,,,,
62,n02119022,red_fox,1300,50,,,,
63,n02091467,Norwegian_elkhound,1300,50,,,,
64,n02106550,Rottweiler,1300,50,,,,
65,n02422106,hartebeest,1300,50,,,,
66,n02091831,Saluki,1300,50,,,,
67,n02120505,grey_fox,1300,50,,,,
68,n02104365,schipperke,1300,50,,,,
69,n02086079,Pekinese,1300,50,,,,
70,n02112706,Brabancon_griffon,1070,50,,,,
71,n02098286,West_Highland_white_terrier,1300,50,,,,
72,n02095889,Sealyham_terrier,936,50,,,,
73,n02484975,guenon,1300,50,,,,
74,n02137549,mongoose,1300,50,,,,
75,n02500267,indri,1300,50,,,,
76,n02129604,tiger,1300,50,,,,
77,n02090721,Irish_wolfhound,1300,50,,,,
78,n02396427,wild_boar,1300,50,,,,
79,n02108000,EntleBucher,1300,50,,,,
80,n02391049,zebra,1300,50,,,,
81,n02412080,ram,1300,50,,,,
82,n02108915,French_bulldog,1300,50,,,,
83,n02480495,orangutan,1300,50,,,,
84,n02110806,basenji,1300,50,,,,
85,n02128385,leopard,1300,50,,,,
86,n02107683,Bernese_mountain_dog,1300,50,,,,
87,n02085936,Maltese_dog,1300,50,,,,
88,n02094114,Norfolk_terrier,1300,50,,,,
89,n02087046,toy_terrier,860,50,,,,
90,n02100583,vizsla,1300,50,,,,
91,n02096177,cairn,1300,50,,,,
92,n02494079,squirrel_monkey,1300,50,,,,
93,n02105056,groenendael,1300,50,,,,
94,n02101556,clumber,1300,50,,,,
95,n02123597,Siamese_cat,1300,50,,,,
96,n02481823,chimpanzee,1300,50,,,,
97,n02105505,komondor,1300,50,,,,
98,n02088094,Afghan_hound,1300,50,,,,
99,n02085782,Japanese_spaniel,772,50,,,,
100,n02489166,proboscis_monkey,1300,50,,,,
101,n02364673,guinea_pig,1300,50,,,,
102,n02114548,white_wolf,1300,50,,,,
103,n02134084,ice_bear,1300,50,,,,
104,n02480855,gorilla,1300,50,,,,
105,n02090622,borzoi,1300,50,,,,
106,n02113624,toy_poodle,1300,50,,,,
107,n02093859,Kerry_blue_terrier,1273,50,,,,
108,n02403003,ox,1300,50,,,,
109,n02097298,Scotch_terrier,1300,50,,,,
110,n02108551,Tibetan_mastiff,1300,50,,,,
111,n02493793,spider_monkey,1300,50,,,,
112,n02107142,Doberman,1300,50,,,,
113,n02096585,Boston_bull,1300,50,,,,
114,n02107574,Greater_Swiss_Mountain_dog,1300,50,,,,
115,n02107908,Appenzeller,1300,50,,,,
116,n02086240,Shih-Tzu,1300,50,,,,
117,n02102973,Irish_water_spaniel,969,50,,,,
118,n02112018,Pomeranian,1300,50,,,,
119,n02093647,Bedlington_terrier,1258,50,,,,
120,n02397096,warthog,1300,50,,,,
121,n02437312,Arabian_camel,1300,50,,,,
122,n02483708,siamang,1300,50,,,,
123,n02097047,miniature_schnauzer,1300,50,,,,
124,n02106030,collie,1300,50,,,,
125,n02099601,golden_retriever,1300,50,,,,
126,n02093991,Irish_terrier,1300,50,,,,
127,n02110627,affenpinscher,954,50,,,,
128,n02106166,Border_collie,1300,50,,,,
129,n02326432,hare,1300,50,,,,
130,n02108089,boxer,1300,50,,,,
131,n02097658,silky_terrier,1300,50,,,,
132,n02088364,beagle,1300,50,,,,
133,n02111129,Leonberg,1300,50,,,,
134,n02100236,German_short-haired_pointer,1300,50,,,,
135,n02486261,patas,1300,50,,,,
136,n02115913,dhole,1300,50,,,,
137,n02486410,baboon,1300,50,,,,
138,n02487347,macaque,1300,50,,,,
139,n02099849,Chesapeake_Bay_retriever,1300,50,,,,
140,n02108422,bull_mastiff,1300,50,,,,
141,n02104029,kuvasz,1300,50,,,,
142,n02492035,capuchin,1300,50,,,,
143,n02110958,pug,1300,50,,,,
144,n02099429,curly-coated_retriever,1218,50,,,,
145,n02094258,Norwich_terrier,1300,50,,,,
146,n02099267,flat-coated_retriever,1300,50,,,,
147,n02395406,hog,1300,50,,,,
148,n02112350,keeshond,1300,50,,,,
149,n02109961,Eskimo_dog,1300,50,,,,
150,n02101388,Brittany_spaniel,1300,50,,,,
151,n02113799,standard_poodle,1300,50,,,,
152,n02095570,Lakeland_terrier,1300,50,,,,
153,n02128757,snow_leopard,1300,50,,,,
154,n02101006,Gordon_setter,1300,50,,,,
155,n02115641,dingo,1300,50,,,,
156,n02097209,standard_schnauzer,1300,50,,,,
157,n02342885,hamster,1300,50,,,,
158,n02097474,Tibetan_terrier,1300,50,,,,
159,n02120079,Arctic_fox,1300,50,,,,
160,n02095314,wire-haired_fox_terrier,977,50,,,,
161,n02088238,basset,1300,50,,,,
162,n02408429,water_buffalo,1300,50,,,,
163,n02133161,American_black_bear,1300,50,,,,
164,n02328150,Angora,1300,50,,,,
165,n02410509,bison,1300,50,,,,
166,n02492660,howler_monkey,1300,50,,,,
167,n02398521,hippopotamus,1300,50,,,,
168,n02112137,chow,1300,50,,,,
169,n02510455,giant_panda,1300,50,,,,
170,n02093428,American_Staffordshire_terrier,1300,50,,,,
171,n02105855,Shetland_sheepdog,1300,50,,,,
172,n02111500,Great_Pyrenees,1300,50,,,,
173,n02085620,Chihuahua,1300,50,,,,
174,n02123045,tabby,1300,50,,,,
175,n02490219,marmoset,1300,50,,,,
176,n02099712,Labrador_retriever,1300,50,,,,
177,n02109525,Saint_Bernard,1300,50,,,,
178,n02454379,armadillo,1300,50,,,,
